Time (UTCG),q1,q2,q3,q4
46:00.0,-0.325471,0.467081,-0.201631,0.797025
47:00.0,-0.331845,0.440916,-0.190962,0.811791
48:00.0,-0.337868,0.414285,-0.180092,0.825699
49:00.0,-0.343536,0.387216,-0.169032,0.838734
50:00.0,-0.348842,0.359738,-0.157793,0.850882
51:00.0,-0.35378,0.331879,-0.146388,0.862129
52:00.0,-0.358345,0.303668,-0.13483,0.872465
53:00.0,-0.362533,0.275137,-0.123128,0.881878
54:00.0,-0.366339,0.246315,-0.111298,0.890358
55:00.0,-0.369759,0.217232,-0.099349,0.897896
56:00.0,-0.37279,0.187919,-0.087297,0.904485
57:00.0,-0.375427,0.158408,-0.075152,0.910117
58:00.0,-0.377669,0.128729,-0.062928,0.914787
59:00.0,-0.379513,0.098914,-0.050637,0.918489
00:00.0,-0.380958,0.068995,-0.038293,0.921219
01:00.0,-0.382001,0.039002,-0.025909,0.922975
02:00.0,-0.382641,0.008969,-0.013497,0.923755
03:00.0,-0.382878,-0.021074,-0.001071,0.923558
04:00.0,-0.382712,-0.051095,0.011356,0.922384
05:00.0,-0.382143,-0.081062,0.023771,0.920234
06:00.0,-0.381171,-0.110943,0.036161,0.917111
07:00.0,-0.379797,-0.140707,0.048513,0.913018
08:00.0,-0.378023,-0.170322,0.060815,0.907959
09:00.0,-0.375851,-0.199756,0.073052,0.90194
10:00.0,-0.373283,-0.22898,0.085212,0.894968
11:00.0,-0.370322,-0.257961,0.097282,0.887048
12:00.0,-0.36697,-0.286669,0.10925,0.87819
13:00.0,-0.363232,-0.315074,0.121103,0.868404
14:00.0,-0.359111,-0.343146,0.132828,0.857699
15:00.0,-0.354611,-0.370855,0.144414,0.846086
16:00.0,-0.349738,-0.398171,0.155847,0.833579
17:00.0,-0.344497,-0.425067,0.167116,0.82019
18:00.0,-0.338892,-0.451513,0.17821,0.805934
19:00.0,-0.33293,-0.477481,0.189115,0.790825
20:00.0,-0.326618,-0.502944,0.199821,0.77488
21:00.0,-0.319961,-0.527875,0.210317,0.758116
22:00.0,-0.312967,-0.552248,0.220591,0.740549
23:00.0,-0.305644,-0.576037,0.230633,0.722199
24:00.0,-0.297998,-0.599216,0.240432,0.703086
25:00.0,-0.290038,-0.621762,0.249977,0.683228
26:00.0,-0.281773,-0.64365,0.25926,0.662649
27:00.0,-0.273211,-0.664857,0.268269,0.641368
28:00.0,-0.264361,-0.685361,0.276995,0.619409
29:00.0,-0.255232,-0.70514,0.28543,0.596795
30:00.0,-0.245834,-0.724174,0.293564,0.573549
31:00.0,-0.236177,-0.742441,0.301389,0.549697
32:00.0,-0.226272,-0.759923,0.308896,0.525264
33:00.0,-0.216128,-0.776601,0.316077,0.500275
34:00.0,-0.205756,-0.792458,0.322926,0.474757
35:00.0,-0.195167,-0.807476,0.329435,0.448736
36:00.0,-0.184373,-0.821641,0.335596,0.422242
37:00.0,-0.173384,-0.834937,0.341404,0.3953
38:00.0,-0.162213,-0.847349,0.346852,0.367941
39:00.0,-0.15087,-0.858865,0.351935,0.340192
40:00.0,-0.139369,-0.869473,0.356647,0.312084
41:00.0,-0.12772,-0.879161,0.360983,0.283645
42:00.0,-0.115938,-0.887919,0.364939,0.254907
43:00.0,-0.104032,-0.895738,0.368511,0.225899
44:00.0,-0.092018,-0.90261,0.371694,0.196652
45:00.0,-0.079906,-0.908527,0.374485,0.167197
46:00.0,-0.06771,-0.913483,0.376882,0.137565
47:00.0,-0.055442,-0.917473,0.378882,0.107788
48:00.0,-0.043116,-0.920492,0.380483,0.077897
49:00.0,-0.030745,-0.922538,0.381682,0.047923
50:00.0,-0.018341,-0.923608,0.38248,0.017899
51:00.0,-0.005918,-0.923701,0.382875,-0.012144
52:00.0,0.006512,-0.922818,0.382866,-0.042174
53:00.0,0.018934,-0.920958,0.382454,-0.07216
54:00.0,0.031337,-0.918124,0.381639,-0.102069
55:00.0,0.043707,-0.914319,0.380422,-0.131871
56:00.0,0.056031,-0.909547,0.378803,-0.161533
57:00.0,0.068296,-0.903813,0.376786,-0.191023
58:00.0,0.080489,-0.897123,0.374372,-0.220312
59:00.0,0.092597,-0.889484,0.371563,-0.249368
00:00.0,0.104608,-0.880904,0.368363,-0.27816
01:00.0,0.116509,-0.871393,0.364775,-0.306658
02:00.0,0.128287,-0.86096,0.360802,-0.334831
03:00.0,0.139929,-0.849616,0.356449,-0.362651
04:00.0,0.151425,-0.837374,0.351721,-0.390086
05:00.0,0.162761,-0.824246,0.346622,-0.417109
06:00.0,0.173925,-0.810247,0.341158,-0.443691
07:00.0,0.184906,-0.79539,0.335334,-0.469804
08:00.0,0.195693,-0.779692,0.329157,-0.49542
09:00.0,0.206273,-0.763169,0.322633,-0.520511
10:00.0,0.216636,-0.74584,0.315769,-0.545052
11:00.0,0.226771,-0.727721,0.308572,-0.569017
12:00.0,0.236667,-0.708833,0.30105,-0.59238
13:00.0,0.246314,-0.689195,0.293211,-0.615116
14:00.0,0.255701,-0.668828,0.285063,-0.637201
15:00.0,0.264819,-0.647753,0.276615,-0.658613
16:00.0,0.273658,-0.625994,0.267875,-0.679328
17:00.0,0.282208,-0.603572,0.258853,-0.699324
18:00.0,0.290462,-0.580513,0.249558,-0.718581
19:00.0,0.298409,-0.556839,0.24,-0.737077
20:00.0,0.306042,-0.532576,0.230189,-0.754794
21:00.0,0.313352,-0.50775,0.220136,-0.771713
22:00.0,0.320332,-0.482387,0.20985,-0.787815
23:00.0,0.326975,-0.456513,0.199343,-0.803085
24:00.0,0.333274,-0.430157,0.188627,-0.817504
25:00.0,0.339221,-0.403346,0.177711,-0.831059
26:00.0,0.344811,-0.376108,0.166608,-0.843735
27:00.0,0.350037,-0.348473,0.15533,-0.855519
28:00.0,0.354895,-0.320469,0.143888,-0.866398
29:00.0,0.359379,-0.292126,0.132294,-0.87636
30:00.0,0.363484,-0.263474,0.120561,-0.885396
31:00.0,0.367207,-0.234544,0.1087,-0.893495
32:00.0,0.370542,-0.205365,0.096726,-0.900649
33:00.0,0.373487,-0.175969,0.084649,-0.90685
34:00.0,0.376039,-0.146387,0.072483,-0.912092
35:00.0,0.378194,-0.116651,0.06024,-0.91637
36:00.0,0.379951,-0.086791,0.047934,-0.919678
37:00.0,0.381307,-0.056839,0.035577,-0.922013
38:00.0,0.382262,-0.026827,0.023183,-0.923374
39:00.0,0.382814,0.003213,0.010764,-0.923757
40:00.0,0.382963,0.03325,-0.001666,-0.923164
41:00.0,0.382708,0.063252,-0.014094,-0.921594
42:00.0,0.38205,0.093186,-0.026508,-0.919049
43:00.0,0.380989,0.123022,-0.038894,-0.915533
44:00.0,0.379527,0.152728,-0.051239,-0.911048
45:00.0,0.377665,0.182273,-0.063529,-0.905599
46:00.0,0.375405,0.211624,-0.075754,-0.899193
47:00.0,0.37275,0.240752,-0.087898,-0.891835
48:00.0,0.369702,0.269625,-0.09995,-0.883534
49:00.0,0.366264,0.298213,-0.111896,-0.874299
50:00.0,0.36244,0.326485,-0.123725,-0.864139
51:00.0,0.358235,0.354412,-0.135423,-0.853065
52:00.0,0.353652,0.381964,-0.146979,-0.841089
53:00.0,0.348696,0.409113,-0.15838,-0.828223
54:00.0,0.343373,0.435828,-0.169614,-0.814482
55:00.0,0.337688,0.462082,-0.180669,-0.799878
